match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ARDWon,ARDLost,ARDWon%
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Danilo Pereira,13.0,DM,29-291,13,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Raphaël Guerreiro,5.0,LB,27-187,90,0,0,0,0,0,0,3,1,0,0,0,0,14,0,0,
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Rúben Dias,4.0,CB,24-044,90,0,0,0,1,0,0,0,4,1,0,0,0,12,1,1,50.0
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Pepe,3.0,CB,38-121,90,1,0,0,1,0,0,1,3,2,0,0,0,7,1,2,33.3
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Diogo Dalot,20.0,RB,22-101,90,1,0,0,1,0,1,3,2,2,0,0,0,7,3,0,100.0
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,Rui Patrício,1.0,GK,33-132,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
ad36a434,"Sunday June 27, 2021",21:00,Belgium,a,16 Players,,,,990,3,0,0,10,16,3,16,17,13,0,0,0,93,14,12,53.8
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Christoph Baumgartner,19.0,FW,21-316,57,0,0,0,2,1,0,0,1,2,0,0,0,2,4,2,66.7
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Michael Gregoritsch,11.0,FW,27-056,33,0,0,0,0,2,1,1,0,1,0,0,0,0,1,1,50.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Sasa Kalajdzic,25.0,FW,23-341,58,0,0,0,0,1,0,0,0,1,0,0,0,2,2,2,50.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Marko Arnautović,7.0,FW,32-055,32,0,0,0,0,2,0,1,0,0,0,0,0,3,1,2,33.3
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Marcel Sabitzer,9.0,CM,27-088,90,0,0,0,2,1,0,4,1,4,0,0,0,12,1,1,50.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Konrad Laimer,24.0,CM,24-017,89,0,0,0,3,1,0,2,1,2,0,0,0,7,0,1,0.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Julian Baumgartlinger,14.0,CM,33-162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Xaver Schlager,23.0,DM,23-258,89,0,0,0,1,3,0,0,1,2,0,0,0,15,0,1,0.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Stefan Ilsanker,6.0,DM,32-026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Andreas Ulmer,2.0,WB,35-226,90,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Stefan Lainer,21.0,WB,28-290,90,1,0,0,2,2,0,3,5,2,0,0,0,7,1,2,33.3
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Martin Hinteregger,4.0,CB,28-279,90,0,0,0,4,0,0,3,0,2,0,0,0,10,1,2,33.3
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,David Alaba,8.0,CB,28-354,90,0,0,0,0,1,0,1,2,1,0,0,0,8,0,1,0.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Aleksandar Dragović,3.0,CB,30-099,45,0,0,0,0,1,0,0,0,0,0,0,0,11,5,0,100.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Philipp Lienhart,15.0,CB,24-337,45,0,0,0,0,2,0,0,0,1,0,0,0,7,0,0,
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,Daniel Bachmann,13.0,GK,26-339,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,h,16 Players,,,,990,1,0,0,14,18,1,16,11,18,0,0,0,90,16,16,50.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Aleksandar Trajkovski,9.0,FW,28-281,62,1,0,0,4,0,0,0,0,1,0,0,0,3,1,3,25.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Tihomir Kostadinov,15.0,CM,25-101,28,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Goran Pandev,10.0,FW,37-321,90,0,0,0,1,2,0,0,0,0,0,0,0,7,1,2,33.3
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Elif Elmas,21.0,"CM,FW,RM",21-262,90,0,0,0,1,0,0,0,0,2,0,0,0,7,0,1,0.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Enis Bardhi,17.0,CM,25-346,81,0,0,0,1,5,0,0,2,0,0,0,0,7,1,0,100.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Ivan Tričkovski,7.0,"CM,LM",34-056,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Arijan Ademi,5.0,"DM,CB",30-015,90,0,0,0,0,1,0,0,1,3,0,0,0,9,2,1,66.7
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Ezgjan Alioski,8.0,"WB,LB",29-121,90,1,0,0,3,2,0,2,1,2,0,0,0,9,2,2,50.0
b47a0ea6,"Sunday June 13, 2021",19:00,Austria,a,Boban Nikolov,16.0,WB,26-320,62,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
