match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,Att,PTLive,PTDead,PTFK,PTTB,PTPress,PTSw,PTCrs,PTCK,CKIn,CKOut,CKStr,Ground,Low,High,BPLeft,BPRight,BPHead,BPTI,BPOther,OutcomeCmp,OutcomeOff,OutcomeOut,OutcomeInt,OutcomeBlocks
14874531,"Saturday June 19, 2021",21:00,Spain,h,Dani Olmo,19.0,LW,23-043,60,36,32,4,0,0,7,1,2,4,0,0,0,30,2,4,8,27,0,0,0,25,0,0,5,0
14874531,"Saturday June 19, 2021",21:00,Spain,h,Ferrán Torres,11.0,LW,21-110,30,12,12,0,0,0,1,0,1,0,0,0,0,7,4,1,1,10,0,0,1,9,0,0,0,2
14874531,"Saturday June 19, 2021",21:00,Spain,h,Gerard Moreno,9.0,RW,29-073,67,41,41,0,0,0,16,0,3,0,0,0,0,31,7,3,28,9,0,0,1,33,0,0,0,3
14874531,"Saturday June 19, 2021",21:00,Spain,h,Fabián Ruiz Peña,17.0,"CM,RW",25-077,23,21,21,0,0,0,1,1,1,0,0,0,0,18,1,2,17,2,1,0,1,17,0,0,0,1
14874531,"Saturday June 19, 2021",21:00,Spain,h,Pedri,26.0,CM,18-206,90,83,77,6,2,0,21,5,0,0,0,0,0,60,10,13,9,70,2,2,0,77,0,0,1,0
14874531,"Saturday June 19, 2021",21:00,Spain,h,Koke,8.0,CM,29-162,67,59,56,3,1,0,18,5,4,2,1,1,0,41,5,13,4,54,1,0,0,52,0,0,0,1
14874531,"Saturday June 19, 2021",21:00,Spain,h,Pablo Sarabia,22.0,"RW,CM",29-039,23,16,14,2,1,0,1,0,1,1,1,0,0,11,3,2,8,7,0,0,1,11,0,0,1,1
14874531,"Saturday June 19, 2021",21:00,Spain,h,Rodri,16.0,DM,24-362,90,69,69,0,0,0,24,3,0,0,0,0,0,46,10,13,11,49,5,0,0,62,0,0,1,1
14874531,"Saturday June 19, 2021",21:00,Spain,h,Jordi Alba,18.0,LB,32-090,90,107,92,15,2,0,18,2,4,0,0,0,0,77,19,11,72,20,1,13,0,93,0,1,3,4
14874531,"Saturday June 19, 2021",21:00,Spain,h,Pau Torres,4.0,CB,24-154,90,80,75,5,5,0,12,4,0,0,0,0,0,59,6,15,55,15,5,0,0,70,0,1,4,0
14874531,"Saturday June 19, 2021",21:00,Spain,h,Aymeric Laporte,24.0,CB,27-023,90,55,52,3,3,0,1,3,0,0,0,0,0,53,2,0,38,15,2,0,0,53,0,0,1,0
14874531,"Saturday June 19, 2021",21:00,Spain,h,Marcos Llorente,6.0,RB,26-140,90,116,105,11,2,0,13,1,5,0,0,0,0,95,12,9,5,102,0,9,0,105,1,0,2,4
14874531,"Saturday June 19, 2021",21:00,Spain,h,Unai Simón,23.0,GK,24-008,90,25,20,5,1,0,1,1,0,0,0,0,0,18,3,4,5,15,0,0,5,23,0,0,0,0
14874531,"Saturday June 19, 2021",21:00,Spain,h,15 Players,,,,990,754,700,54,17,0,149,27,21,7,2,1,0,569,90,95,264,423,19,24,10,657,1,2,18,18
