Player,team_name,PTTBper90,PTPressper90,PTSwper90
Stephen O'Donnell,Scotland ,0.0,5.7370517928286855,1.4342629482071714
Steven Berghuis,Netherlands,0.0,8.181818181818182,3.2727272727272725
Steven Zuber,Switzerland,0.31690140845070425,9.82394366197183,0.6338028169014085
Stole Dimitrievski,North Macedonia,0.0,1.3333333333333335,2.0
Stuart Armstrong,Scotland ,0.0,11.4,1.8
Szabolcs Schön,Hungary ,0.0,0.0,0.0
Sérgio Oliveira,Portugal,0.0,16.875,11.25
Tamás Cseri,Hungary,0.0,0.0,0.0
Taras Stepanenko,Ukraine ,0.0,4.891304347826087,0.0
Teemu Pukki,Finland,0.0,5.294117647058823,0.0
Thiago Alcántara,Spain,1.6981132075471697,18.67924528301887,13.584905660377357
Thibaut Courtois,Belgium ,0.0,1.6,0.8
Thomas Delaney,Denmark ,0.0,10.945945945945947,2.1891891891891895
Thomas Lemar,France ,0.0,0.0,0.0
Thomas Meunier,Belgium ,0.2735562310030395,5.197568389057751,2.188449848024316
Thomas Müller,Germany ,0.3082191780821918,11.095890410958903,0.6164383561643836
Thomas Vermaelen,Belgium ,0.0,4.105263157894737,0.631578947368421
Thorgan Hazard,Belgium ,0.0,3.5195530726256985,1.5083798882681565
Tihomir Kostadinov,North Macedonia,0.0,5.3999999999999995,1.8
Tim Sparv,Finland,0.0,10.827067669172932,0.0
Timo Werner,Germany ,0.0,4.166666666666666,0.0
Timothy Castagne,Belgium,0.0,0.0,0.0
Toby Alderweireld,Belgium ,0.0,4.0,3.5
Tomáš Holeš,Czech Republic,0.0,5.134228187919463,0.30201342281879195
Tomáš Hubočan,Slovakia,0.34220532319391633,4.448669201520913,0.6844106463878327
Tomáš Kalas,Czech Republic,0.0,4.6000000000000005,2.4000000000000004
Tomáš Pekhart,Czech Republic,0.0,11.25,0.0
Tomáš Souček,Czech Republic,0.0,10.2,2.2
Tomáš Suslov,Slovakia,0.0,0.0,0.0
Tomáš Vaclík,Czech Republic,0.0,3.0,0.4
Toni Kroos,Germany ,0.0,9.75,7.0
Tyler Roberts,Wales,0.0,0.0,0.0
Tymoteusz Puchacz,Poland ,0.0,5.921052631578947,1.776315789473684
Tyrone Mings,England,0.0,6.09375,0.9375
Umut Meraş,Turkey,0.0,5.031055900621118,0.0
Unai Simón,Spain,0.0,2.4705882352941178,1.0588235294117647
Uğurcan Çakır,Turkey,0.0,1.6666666666666665,1.0
Valentino Lazaro,Austria ,0.0,8.571428571428571,0.0
Victor Lindelöf,Sweden ,0.0,4.384615384615385,1.1538461538461537
Viktor Claesson,Sweden ,0.0,6.27906976744186,3.13953488372093
Viktor Tsyhankov,Ukraine,0.0,8.873239436619718,0.6338028169014085
Visar Musliu,North Macedonia,0.0,6.113207547169811,1.0188679245283019
Vitaliy Mykolenko,Ukraine ,0.0,6.610169491525424,1.0169491525423728
Vladimír Coufal,Czech Republic,0.2,8.0,1.0
Vladimír Darida,Czech Republic,0.0,9.838056680161944,2.91497975708502
Vladimír Weiss,Slovakia,0.0,2.5,0.0
Vlatko Stojanovski,North Macedonia,0.0,6.923076923076923,0.0
Vyacheslav Karavayev,Russia,0.0,5.255474452554744,0.656934306569343
Willi Orban,Hungary,0.0,4.333333333333333,1.0
William Carvalho,Portugal ,0.656934306569343,9.854014598540147,2.627737226277372
Wojciech Szczęsny,Poland ,0.0,1.0,1.3333333333333335
Wout Weghorst,Netherlands,0.0,7.461139896373057,0.0
Xaver Schlager,Austria ,0.0,9.809264305177111,0.49046321525885556
Xherdan Shaqiri,Switzerland,0.0,7.6229508196721305,3.9344262295081966
Yann Sommer,Switzerland,0.0,2.2941176470588234,0.8823529411764706
Yannick Carrasco,Belgium ,0.0,2.608695652173913,1.3043478260869565
Yevhen Makarenko,Ukraine,0.0,10.18867924528302,0.0
Youri Tielemans,Belgium ,0.0,5.059171597633136,1.0650887573964496
Yuri Zhirkov,Russia ,0.0,4.285714285714286,0.0
Yussuf Poulsen,Denmark ,0.37344398340248963,10.8298755186722,0.7468879668049793
Yusuf Yazıcı,Turkey,0.0,10.0,0.7692307692307693
Zeki Çelik,Turkey,0.6666666666666667,7.666666666666666,1.0
Ádám Nagy,Hungary,0.0,6.404494382022471,1.348314606741573
Ádám Szalai,Hungary,0.0,3.6734693877551017,0.4591836734693877
Álvaro Morata,Spain,0.0,8.307692307692308,1.1538461538461537
Çağlar Söyüncü,Turkey,0.0,6.333333333333334,4.0
İlkay Gündoğan,Germany ,0.0,5.342465753424658,2.054794520547945
İrfan Kahveci,Turkey,0.0,7.964601769911504,1.592920353982301
Ľubomír Šatka,Slovakia,0.0,5.0,1.0
Šime Vrsaljko,Croatia,0.0,7.5,2.5
